Year	Methane	CO2	Greenhouse
2015	838808.82	1671895	2629877
2014	832010.63	1667111	2619991
2013	827510.35	1665989	2614875
2012	824673.86	1726099	2674246
2011	814248.9	1712425	2634906
2010	800251.4	1657561	2573185
2009	775424.12	1572439	2456620
2008	792099.68	1679794	2586124
2007	790907.88	1647729	2554289
2006	779118.67	1648659	2544866
2005	764007.18	1588663	2472205
2004	751954.59	1570864	2443495
2003	713192.67	1562472	2393723
2002	665958.38	1528962	2319302
2001	638895.46	1538244	2309086
2000	611795.12	1499616	2249072
1999	592478.66	1512985	2240876
1998	592094.89	1484852	2217844
1997	606845.38	1502137	2242602
1996	615682.24	1606949	2361183
1995	634297.97	1640263	2422405
1994	659473.55	1669637	2478263
1993	716821.95	1890935	2773743
1992	773588.67	1993218	2965177
1991	854406.36	2437038	3523904
1990	922029.61	2571211	3734345
