"Country or Area"|"Year"|"Value"
"United States of America"|"2016"|"657439.823843596"
"United States of America"|"2015"|"665381.403482036"
"United States of America"|"2014"|"663961.12285557"
"United States of America"|"2013"|"662552.604931492"
"United States of America"|"2012"|"662501.260316881"
"United States of America"|"2011"|"672405.167075556"
"United States of America"|"2010"|"693630.829697295"
"United States of America"|"2009"|"691997.974947283"
"United States of America"|"2008"|"697810.961540445"
"United States of America"|"2007"|"689863.239153087"
"United States of America"|"2006"|"688610.750524577"
"United States of America"|"2005"|"688606.981984315"
"United States of America"|"2004"|"684424.774440636"
"United States of America"|"2003"|"693749.054868357"
"United States of America"|"2002"|"694008.064078073"
"United States of America"|"2001"|"702968.869640872"
"United States of America"|"2000"|"709233.59673864"
"United States of America"|"1999"|"717558.620899164"
"United States of America"|"1998"|"728650.876935034"
"United States of America"|"1997"|"743357.026211823"
"United States of America"|"1996"|"758666.158190576"
"United States of America"|"1995"|"767225.641005245"
"United States of America"|"1994"|"774603.672507164"
"United States of America"|"1993"|"769973.082106607"
"United States of America"|"1992"|"783595.662564542"
"United States of America"|"1991"|"784557.250686313"
"United States of America"|"1990"|"779942.238765189"

