Year	Methane	CO2	Greenhouse
2015	665381.4	5420804	6638133
2014	663961.12	5568759	6763141
2013	662552.6	5519613	6709107
2012	662501.26	5366730	6528790
2011	672405.17	5570707	6771119
2010	693630.83	5701076	6922946
2009	691997.97	5495395	6698062
2008	697810.96	5932775	7145129
2007	689863.24	6130984	7351465
2006	688610.75	6052236	7251842
2005	688606.98	6132006	7320277
2004	684424.77	6106621	7313761
2003	693749.05	5991320	7180534
2002	694008.06	5943651	7139381
2001	702968.87	5902455	7100822
2000	709233.6	6000606	7216645
1999	717558.62	5832250	7056695
1998	728650.88	5752324	7015946
1997	743357.03	5703891	6952068
1996	758666.16	5626187	6891465
1995	767225.64	5439213	6695592
1994	774603.67	5377987	6610731
1993	769973.08	5284688	6518970
1992	783595.66	5174059	6409932
1991	784557.25	5070839	6299766
1990	779942.24	5121264	6355634
