Year	USA	RUSSIA	GERMANY
2015	665381.40	838808.82	55602.18908
2014	663961.12	832010.63	55805.75267
2013	662552.60	827510.35	56968.44398
2012	662501.26	824673.86	57634.08647
2011	672405.17	814248.90	57017.80907
2010	693630.83	800251.40	58143.85031
2009	691997.97	775424.12	58979.95733
2008	697810.96	792099.68	61234.73574
2007	689863.24	790907.88	62153.51701
2006	688610.75	779118.67	64461.66849
2005	688606.98	764007.18	68356.63049
2004	684424.77	751954.59	71620.85545
2003	693749.05	713192.67	76663.61961
2002	694008.06	665958.38	80051.31237
2001	702968.87	638895.46	84027.77688
2000	709233.60	611795.12	87678.3625
1999	717558.62	592478.66	92006.91301
1998	728650.88	592094.89	92654.6059
1997	743357.03	606845.38	97943.47878
1996	758666.16	615682.24	102301.1947
1995	767225.64	634297.97	104930.8569
1994	774603.67	659473.55	107265.1524
1993	769973.08	716821.95	111212.5804
1992	783595.66	773588.67	110657.4146
1991	784557.25	854406.36	114326.4955
1990	779942.24	922029.61	120226.6971
